VNB-Name,Teilnetzgebiet,Bundesland,Ort / Trasse,Netzebene,Art der Maßnahme,Leitungslänge in km,Übertragungskapazität in MVA,"Netzkomponenten (z.B. UW,Trafo ;Anzahl/Typ)",Projektstatus,Zeithorizont,Kosten in Mio.€,location,latitude,longitude,passt
EAM Netz GmbH,Mitte,Niedersachsen,Göttingen,k.A.,Ertüchtigung Leitungen,7.0,0.0,k.A.,vorgesehene Maßnahme,2028,1.2,"Göttingen, Landkreis Göttingen, Niedersachsen, Deutschland",51.5328328,9.9351811,True
EAM Netz GmbH,Mitte,Niedersachsen,Göttingen,k.A.,Neubau Leitungen,27.0,0.0,k.A.,vorgesehene Maßnahme,2028,6.2,"Göttingen, Landkreis Göttingen, Niedersachsen, Deutschland",51.5328328,9.9351811,True
EAM Netz GmbH,Mitte,Niedersachsen,Drammetal,k.A.,Neubau Leitungen,13.0,0.0,k.A.,vorgesehene Maßnahme,2028,0.8,"Grundschule im Drammetal, Hauptstraße, Dramfeld, Rosdorf, Landkreis Göttingen, Niedersachsen, 37124, Deutschland",51.4529914,9.8751011,True
EAM Netz GmbH,Mitte,Niedersachsen,Drammetal,k.A.,Neubau Leitungen,1.0,0.0,k.A.,vorgesehene Maßnahme,2028,0.1,"Grundschule im Drammetal, Hauptstraße, Dramfeld, Rosdorf, Landkreis Göttingen, Niedersachsen, 37124, Deutschland",51.4529914,9.8751011,True
EAM Netz GmbH,Mitte,Niedersachsen,Drammetal,k.A.,Neubau Leitungen,1.0,0.0,k.A.,vorgesehene Maßnahme,2028,4.4,"Grundschule im Drammetal, Hauptstraße, Dramfeld, Rosdorf, Landkreis Göttingen, Niedersachsen, 37124, Deutschland",51.4529914,9.8751011,True
EAM Netz GmbH,Mitte,Niedersachsen,Dransfeld,k.A.,Neubau Leitungen,1.0,0.0,k.A.,vorgesehene Maßnahme,2028,22.4,"Dransfeld, Samtgemeinde Dransfeld, Landkreis Göttingen, Niedersachsen, 37127, Deutschland",51.5012034,9.7583419,True
EAM Netz GmbH,Mitte,Niedersachsen,Duderstadt,k.A.,Neubau Leitungen,2.0,0.0,k.A.,vorgesehene Maßnahme,2028,7.4,"Duderstadt, Landkreis Göttingen, Niedersachsen, 37115, Deutschland",51.5123672,10.2610699,True
EAM Netz GmbH,Mitte,Niedersachsen,Grone,k.A.,Neubau Leitungen,47.0,0.0,k.A.,vorgesehene Maßnahme,2028,3.1,"Grone, Göttingen, Landkreis Göttingen, Niedersachsen, Deutschland",51.5347053,9.8891894,True
EAM Netz GmbH,Mitte,Niedersachsen,Grone,k.A.,Neubau Leitungen,2.0,0.0,k.A.,vorgesehene Maßnahme,2028,1.8,"Grone, Göttingen, Landkreis Göttingen, Niedersachsen, Deutschland",51.5347053,9.8891894,True
EAM Netz GmbH,Mitte,Niedersachsen,Göttingen,k.A.,Ertüchtigung Leitungen,34.0,0.0,k.A.,vorgesehene Maßnahme,2033,6.2,"Göttingen, Landkreis Göttingen, Niedersachsen, Deutschland",51.5328328,9.9351811,True
EAM Netz GmbH,Mitte,Niedersachsen,Göttingen,k.A.,Neubau Leitungen,33.0,0.0,k.A.,vorgesehene Maßnahme,2033,7.8,"Göttingen, Landkreis Göttingen, Niedersachsen, Deutschland",51.5328328,9.9351811,True
EAM Netz GmbH,Mitte,Niedersachsen,Drammetal,k.A.,Neubau Leitungen,15.0,0.0,k.A.,vorgesehene Maßnahme,2033,1.0,"Grundschule im Drammetal, Hauptstraße, Dramfeld, Rosdorf, Landkreis Göttingen, Niedersachsen, 37124, Deutschland",51.4529914,9.8751011,True
EAM Netz GmbH,Mitte,Niedersachsen,Drammetal,k.A.,Neubau Leitungen,1.0,0.0,k.A.,vorgesehene Maßnahme,2033,2.2,"Grundschule im Drammetal, Hauptstraße, Dramfeld, Rosdorf, Landkreis Göttingen, Niedersachsen, 37124, Deutschland",51.4529914,9.8751011,True
EAM Netz GmbH,Mitte,Niedersachsen,Dransfeld,k.A.,Neubau Leitungen,7.0,0.0,k.A.,vorgesehene Maßnahme,2033,0.5,"Dransfeld, Samtgemeinde Dransfeld, Landkreis Göttingen, Niedersachsen, 37127, Deutschland",51.5012034,9.7583419,True
EAM Netz GmbH,Mitte,Niedersachsen,Dransfeld,k.A.,Neubau Leitungen,1.0,0.0,k.A.,vorgesehene Maßnahme,2033,1.2,"Dransfeld, Samtgemeinde Dransfeld, Landkreis Göttingen, Niedersachsen, 37127, Deutschland",51.5012034,9.7583419,True
EAM Netz GmbH,Mitte,Niedersachsen,Duderstadt,k.A.,Neubau Leitungen,11.0,0.0,k.A.,vorgesehene Maßnahme,2033,0.7,"Duderstadt, Landkreis Göttingen, Niedersachsen, 37115, Deutschland",51.5123672,10.2610699,True
EAM Netz GmbH,Mitte,Niedersachsen,Grone,k.A.,Neubau Leitungen,16.0,0.0,k.A.,vorgesehene Maßnahme,2033,1.0,"Grone, Göttingen, Landkreis Göttingen, Niedersachsen, Deutschland",51.5347053,9.8891894,True
EAM Netz GmbH,Mitte,Niedersachsen,Göttingen,k.A.,Ertüchtigung Leitungen,7.0,0.0,k.A.,vorgesehene Maßnahme,2045,1.3,"Göttingen, Landkreis Göttingen, Niedersachsen, Deutschland",51.5328328,9.9351811,True
EAM Netz GmbH,Mitte,Niedersachsen,Göttingen,k.A.,Neubau Leitungen,0.0,0.0,k.A.,vorgesehene Maßnahme,2045,0.0,"Göttingen, Landkreis Göttingen, Niedersachsen, Deutschland",51.5328328,9.9351811,True
EAM Netz GmbH,Mitte,Niedersachsen,Drammetal,k.A.,Neubau Leitungen,3.0,0.0,k.A.,vorgesehene Maßnahme,2045,0.2,"Grundschule im Drammetal, Hauptstraße, Dramfeld, Rosdorf, Landkreis Göttingen, Niedersachsen, 37124, Deutschland",51.4529914,9.8751011,True
EAM Netz GmbH,Mitte,Niedersachsen,Dransfeld,k.A.,Neubau Leitungen,10.0,0.0,k.A.,vorgesehene Maßnahme,2045,0.7,"Dransfeld, Samtgemeinde Dransfeld, Landkreis Göttingen, Niedersachsen, 37127, Deutschland",51.5012034,9.7583419,True
EAM Netz GmbH,Mitte,Niedersachsen,Duderstadt,k.A.,Neubau Leitungen,10.0,0.0,k.A.,vorgesehene Maßnahme,2045,0.7,"Duderstadt, Landkreis Göttingen, Niedersachsen, 37115, Deutschland",51.5123672,10.2610699,True
EAM Netz GmbH,Mitte,Niedersachsen,Grone,k.A.,Neubau Leitungen,30.0,0.0,k.A.,vorgesehene Maßnahme,2045,2.0,"Grone, Göttingen, Landkreis Göttingen, Niedersachsen, Deutschland",51.5347053,9.8891894,True
EAM Netz GmbH,Mitte,Niedersachsen,Northeim,k.A.,Ertüchtigung Leitungen,11.4,0.0,k.A.,vorgesehene Maßnahme,2028,1.8,"Landkreis Northeim, Niedersachsen, Deutschland",51.7643823,9.8583289,True
EAM Netz GmbH,Mitte,Niedersachsen,Northeim,k.A.,Neubau Leitungen,12.5,0.0,k.A.,vorgesehene Maßnahme,2028,2.5,"Landkreis Northeim, Niedersachsen, Deutschland",51.7643823,9.8583289,True
EAM Netz GmbH,Mitte,Niedersachsen,Bilshausen,k.A.,Neubau Leitungen,18.0,0.0,k.A.,vorgesehene Maßnahme,2028,1.2,"Bilshausen, Samtgemeinde Gieboldehausen, Landkreis Göttingen, Niedersachsen, Deutschland",51.6304115,10.1557522,True
EAM Netz GmbH,Mitte,Niedersachsen,Bilshausen,k.A.,Neubau Leitungen,2.0,0.0,k.A.,vorgesehene Maßnahme,2028,1.0,"Bilshausen, Samtgemeinde Gieboldehausen, Landkreis Göttingen, Niedersachsen, Deutschland",51.6304115,10.1557522,True
EAM Netz GmbH,Mitte,Niedersachsen,Bilshausen,k.A.,Ertüchtigung Leitungen,1.0,0.0,k.A.,vorgesehene Maßnahme,2028,1.4,"Bilshausen, Samtgemeinde Gieboldehausen, Landkreis Göttingen, Niedersachsen, Deutschland",51.6304115,10.1557522,True
EAM Netz GmbH,Mitte,Niedersachsen,Einbeck,k.A.,Neubau Leitungen,36.0,0.0,k.A.,vorgesehene Maßnahme,2028,2.3,"Einbeck, Landkreis Northeim, Niedersachsen, 37574, Deutschland",51.8185067,9.8678465,True
EAM Netz GmbH,Mitte,Niedersachsen,Einbeck,k.A.,Neubau Leitungen,1.0,0.0,k.A.,vorgesehene Maßnahme,2028,0.1,"Einbeck, Landkreis Northeim, Niedersachsen, 37574, Deutschland",51.8185067,9.8678465,True
EAM Netz GmbH,Mitte,Niedersachsen,Hardegsen,k.A.,Neubau Leitungen,4.0,0.0,k.A.,vorgesehene Maßnahme,2028,0.3,"Hardegsen, Landkreis Northeim, Niedersachsen, 37181, Deutschland",51.6528043,9.8322034,True
EAM Netz GmbH,Mitte,Niedersachsen,Hardegsen,k.A.,Neubau Leitungen,2.0,0.0,k.A.,vorgesehene Maßnahme,2028,2.4,"Hardegsen, Landkreis Northeim, Niedersachsen, 37181, Deutschland",51.6528043,9.8322034,True
EAM Netz GmbH,Mitte,Niedersachsen,Hardegsen,k.A.,Ertüchtigung Leitungen,1.0,0.0,k.A.,vorgesehene Maßnahme,2028,2.2,"Hardegsen, Landkreis Northeim, Niedersachsen, 37181, Deutschland",51.6528043,9.8322034,True
EAM Netz GmbH,Mitte,Niedersachsen,Uslar,k.A.,Neubau Leitungen,12.0,0.0,k.A.,vorgesehene Maßnahme,2028,0.8,"Uslar, Landkreis Northeim, Niedersachsen, 37170, Deutschland",51.658901,9.6347785,True
EAM Netz GmbH,Mitte,Niedersachsen,Uslar,k.A.,Neubau Leitungen,2.0,0.0,k.A.,vorgesehene Maßnahme,2028,2.2,"Uslar, Landkreis Northeim, Niedersachsen, 37170, Deutschland",51.658901,9.6347785,True
EAM Netz GmbH,Mitte,Niedersachsen,Uslar,k.A.,Neubau Leitungen,1.0,0.0,k.A.,vorgesehene Maßnahme,2028,5.3,"Uslar, Landkreis Northeim, Niedersachsen, 37170, Deutschland",51.658901,9.6347785,True
EAM Netz GmbH,Mitte,Niedersachsen,Northeim,k.A.,Ertüchtigung Leitungen,4.6,0.0,k.A.,vorgesehene Maßnahme,2033,0.7,"Landkreis Northeim, Niedersachsen, Deutschland",51.7643823,9.8583289,True
EAM Netz GmbH,Mitte,Niedersachsen,Northeim,k.A.,Neubau Leitungen,26.1,0.0,k.A.,vorgesehene Maßnahme,2033,5.1,"Landkreis Northeim, Niedersachsen, Deutschland",51.7643823,9.8583289,True
EAM Netz GmbH,Mitte,Niedersachsen,Bilshausen,k.A.,Neubau Leitungen,17.0,0.0,k.A.,vorgesehene Maßnahme,2033,1.1,"Bilshausen, Samtgemeinde Gieboldehausen, Landkreis Göttingen, Niedersachsen, Deutschland",51.6304115,10.1557522,True
EAM Netz GmbH,Mitte,Niedersachsen,Einbeck,k.A.,Neubau Leitungen,25.0,0.0,k.A.,vorgesehene Maßnahme,2033,1.6,"Einbeck, Landkreis Northeim, Niedersachsen, 37574, Deutschland",51.8185067,9.8678465,True
EAM Netz GmbH,Mitte,Niedersachsen,Hardegsen,k.A.,Neubau Leitungen,7.0,0.0,k.A.,vorgesehene Maßnahme,2033,0.1,"Hardegsen, Landkreis Northeim, Niedersachsen, 37181, Deutschland",51.6528043,9.8322034,True
EAM Netz GmbH,Mitte,Niedersachsen,Hardegsen,k.A.,Ertüchtigung Leitungen,1.0,0.0,k.A.,vorgesehene Maßnahme,2033,2.0,"Hardegsen, Landkreis Northeim, Niedersachsen, 37181, Deutschland",51.6528043,9.8322034,True
EAM Netz GmbH,Mitte,Niedersachsen,Northeim,k.A.,Ertüchtigung Leitungen,1.0,0.0,k.A.,vorgesehene Maßnahme,2033,1.4,"Landkreis Northeim, Niedersachsen, Deutschland",51.7643823,9.8583289,True
EAM Netz GmbH,Mitte,Niedersachsen,Uslar,k.A.,Neubau Leitungen,14.0,0.0,k.A.,vorgesehene Maßnahme,2033,0.9,"Uslar, Landkreis Northeim, Niedersachsen, 37170, Deutschland",51.658901,9.6347785,True
EAM Netz GmbH,Mitte,Niedersachsen,Uslar,k.A.,Neubau Leitungen,1.0,0.0,k.A.,vorgesehene Maßnahme,2033,1.2,"Uslar, Landkreis Northeim, Niedersachsen, 37170, Deutschland",51.658901,9.6347785,True
EAM Netz GmbH,Mitte,Niedersachsen,Northeim,k.A.,Ertüchtigung Leitungen,3.4,0.0,k.A.,vorgesehene Maßnahme,2045,0.5,"Landkreis Northeim, Niedersachsen, Deutschland",51.7643823,9.8583289,True
EAM Netz GmbH,Mitte,Niedersachsen,Northeim,k.A.,Neubau Leitungen,3.0,0.0,k.A.,vorgesehene Maßnahme,2045,0.6,"Landkreis Northeim, Niedersachsen, Deutschland",51.7643823,9.8583289,True
EAM Netz GmbH,Mitte,Niedersachsen,Bilshausen,k.A.,Neubau Leitungen,13.0,0.0,k.A.,vorgesehene Maßnahme,2045,0.8,"Bilshausen, Samtgemeinde Gieboldehausen, Landkreis Göttingen, Niedersachsen, Deutschland",51.6304115,10.1557522,True
EAM Netz GmbH,Mitte,Niedersachsen,Einbeck,k.A.,Neubau Leitungen,14.0,0.0,k.A.,vorgesehene Maßnahme,2045,0.9,"Einbeck, Landkreis Northeim, Niedersachsen, 37574, Deutschland",51.8185067,9.8678465,True
EAM Netz GmbH,Mitte,Niedersachsen,Hardegsen,k.A.,Neubau Leitungen,6.0,0.0,k.A.,vorgesehene Maßnahme,2045,0.4,"Hardegsen, Landkreis Northeim, Niedersachsen, 37181, Deutschland",51.6528043,9.8322034,True
EAM Netz GmbH,Mitte,Niedersachsen,Uslar,k.A.,Neubau Leitungen,6.0,0.0,k.A.,vorgesehene Maßnahme,2045,0.4,"Uslar, Landkreis Northeim, Niedersachsen, 37170, Deutschland",51.658901,9.6347785,True
EAM Netz GmbH,Mitte,Niedersachsen,Kassel Innenstadt,k.A.,Neubau Leitungen,21.0,0.0,k.A.,vorgesehene Maßnahme,2028,1.4,"Wundrack KG Kassel/GÖ, 12, Goethe-Allee, Innenstadt, Göttingen, Landkreis Göttingen, Niedersachsen, 37073, Deutschland",51.5348846,9.9309546,True
EAM Netz GmbH,Mitte,Niedersachsen,Kassel Innenstadt,k.A.,Kapazitätserweiterung,1.0,0.0,k.A.,vorgesehene Maßnahme,2028,1.3,"Wundrack KG Kassel/GÖ, 12, Goethe-Allee, Innenstadt, Göttingen, Landkreis Göttingen, Niedersachsen, 37073, Deutschland",51.5348846,9.9309546,True
EAM Netz GmbH,Mitte,Niedersachsen,Kassel Innenstadt,k.A.,Neubau Leitungen,8.0,0.0,k.A.,vorgesehene Maßnahme,2033,0.5,"Wundrack KG Kassel/GÖ, 12, Goethe-Allee, Innenstadt, Göttingen, Landkreis Göttingen, Niedersachsen, 37073, Deutschland",51.5348846,9.9309546,True
EAM Netz GmbH,Mitte,Niedersachsen,Kassel Innenstadt,k.A.,Neubau Leitungen,4.0,0.0,k.A.,vorgesehene Maßnahme,2045,0.3,"Wundrack KG Kassel/GÖ, 12, Goethe-Allee, Innenstadt, Göttingen, Landkreis Göttingen, Niedersachsen, 37073, Deutschland",51.5348846,9.9309546,True
EAM Netz GmbH,Mitte,Niedersachsen,Rotenburg,k.A.,Neubau Leitungen,6.0,0.0,k.A.,vorgesehene Maßnahme,2028,0.4,"Rotenburg, Landkreis Rotenburg (Wümme), Niedersachsen, 27356, Deutschland",53.1108906,9.4049292,True
EAM Netz GmbH,Mitte,Niedersachsen,Rotenburg,k.A.,Kapazitätserweiterung,1.0,0.0,k.A.,vorgesehene Maßnahme,2028,0.9,"Rotenburg, Landkreis Rotenburg (Wümme), Niedersachsen, 27356, Deutschland",53.1108906,9.4049292,True
